user_id,page_name,time_spent
48,"['Human_skeleton', 'Gut_microbiota', 'Pulmonary_circulation', 'Pituitary_gland', 'Ileum']","[438.0, 846.0, 1435.0, 2030.0000000000002, 0.0]"
49,"['Schwann_cell', 'Suspensory_muscle_of_duodenum', 'Reproductive_biology', 'Hypha', 'Axon']","[2659.0, 1077.0, 2591.0, 2571.0, 0.0]"
50,"['Salivary_gland', 'Reproductive_isolation', 'Nostril', 'Circulatory_system', 'Neural_circuit']","[1728.0, 2023.0000000000002, 2296.0, 2157.0, 0.0]"
51,"['Facial_skeleton', 'Motor_nerve', 'Muscle', 'Nutrient', 'Human_reproductive_system']","[2350.0, 552.0, 1425.0, 1685.0, 0.0]"
52,"['Immune_system', 'Pulmonary_circulation', 'Epithelium', 'Muscle_relaxant', 'Urinary_incontinence']","[1443.0, 1339.0, 272.0, 970.0000000000001, 0.0]"
53,"['Synapse', 'Pulmonary_alveolus', 'Reproductive_isolation', 'Axon', 'Portal_venous_system']","[2434.0, 1108.0, 444.0, 3292.0, 0.0]"
54,"['Protein', 'Protein', 'Sebaceous_gland', 'Stromal_cell', 'Langerhans_cell']","[2065.0, 3349.0, 399.0, 2534.0, 0.0]"
55,"['Blood_plasma', 'Spleen', 'Pulmonary_pleurae', 'Reproductive_coercion', 'Skeletonization']","[629.0, 3056.0, 3536.0, 3571.0, 0.0]"
56,"['Cecum', 'Pulmonary_alveolus', 'Subcutaneous_tissue', 'Trachea', 'Suspensory_muscle_of_duodenum']","[2172.0, 1319.0, 3153.0, 1229.0, 0.0]"
57,"['Programmed_cell_death', 'Starling_equation', 'Mammary_gland', 'Portal_venous_system', 'Reproductive_coercion']","[1710.0, 1730.0, 421.0, 3055.0, 0.0]"
58,"['Merkel_cell', 'Prostate', 'Platelet', 'Blood_vessel', 'Synapse']","[334.0, 3097.0, 2908.0, 3202.0, 0.0]"
59,"['Stromal_cell', 'Merkel_cell', 'Thoracic_diaphragm', 'Gastrointestinal_tract', 'Pharynx']","[3473.0, 3209.0, 1576.0, 1269.0, 0.0]"
60,"['Blood_plasma', 'Lacrimal_gland', 'Respiratory_tract', 'Pulmonary_pleurae', 'Cranial_nerves']","[3219.0, 3167.0, 3571.0, 1316.0, 0.0]"
61,"['Parathyroid_gland', 'T_cell', 'Appendicular_skeleton', 'Appendicular_skeleton', 'Urinary_catheterization']","[125.00000000000001, 3132.0, 637.0, 2956.0, 0.0]"
62,"['Reproductive_rights', 'Skeletal_animation', 'Brainstem', 'Axial_skeleton', 'Lymph_node']","[2772.0, 2863.0, 2022.0000000000002, 804.0, 0.0]"
63,"['Prostate', 'Large_intestine', 'Tonsil', 'Reproductive_isolation', 'Pulmonary_pleurae']","[3427.0, 297.0, 1217.0, 2854.0, 0.0]"
64,"['Inferior_vena_cava', 'Heart', 'Skin', 'Gut_microbiota', 'Nasal_cavity']","[2645.0, 2451.0, 2949.0, 2165.0, 0.0]"
65,"['Superior_vena_cava', 'Vein', 'Neural_pathway', 'Skeletal_muscle', 'Spleen']","[2379.0, 90.0, 3262.0, 1334.0, 0.0]"
66,"['Gut_microbiota', 'Gland', 'Thymus', 'Nasal_cavity', 'Facial_skeleton']","[427.0, 3468.0, 1439.0, 2973.0, 0.0]"
67,"['Lymph_node', 'Pulmonary_pleurae', 'Lacrimal_gland', 'Blood_plasma', 'Integumentary_system']","[600.0, 2711.0, 1904.0000000000002, 154.0, 0.0]"
68,"['Stomach', 'Axon_terminal', 'Mucous_membrane', 'Gallbladder', 'Pancreas']","[1384.0, 2601.0, 2938.0, 3266.0, 0.0]"
69,"['Sensory_nerve', 'Ceruminous_gland', 'Small_intestine', 'Cerebral_cortex', 'Salivary_gland']","[555.0, 3261.0, 2747.0, 2443.0, 0.0]"
70,"['Stratum_granulosum', 'Skeletonization', 'Jejunum', 'Urinary_retention', 'Hypha']","[1811.0, 297.0, 1811.0, 1029.0, 0.0]"
71,"['Enteric_nervous_system', 'Lacrimal_gland', 'Skeletal_System', 'Muscle_relaxant', 'Node_of_Ranvier']","[2817.0, 3042.0, 1944.0000000000002, 3397.0, 0.0]"
72,"['Lymphatic_vessel', 'Lymphatic_vessel', 'Suspensory_muscle_of_duodenum', 'Nutrient', 'Mammary_gland']","[3508.0, 2923.0, 3234.0, 697.0, 0.0]"
73,"['Protein', 'Muscle', 'Urinary_bladder_disease', 'Human_digestive_system', 'Reproductive_success']","[2930.0, 1602.0, 3145.0, 1644.0, 0.0]"
74,"['Respiratory_tract', 'Anus', 'Urinary_System', 'Lymphocyte', 'Thymus']","[1800.0, 1926.0000000000002, 320.0, 2205.0, 0.0]"
75,"['Pulmonary_alveolus', 'Enteric_nervous_system', 'Reproductive_System', 'Urinary_tract_obstruction', 'Lymph_node']","[642.0, 701.0, 3175.0, 2002.0000000000002, 0.0]"
76,"['Skeletal_formula', 'Skeleton_in_the_closet', 'Human_digestive_system', 'Synapse', 'Stratified_squamous_epithelium']","[3508.0, 3480.0, 2890.0, 3380.0, 0.0]"
77,"['Nutrient', 'Skin', 'Axon', 'Gallbladder', 'Lymphocyte']","[907.0, 2345.0, 1168.0, 386.0, 0.0]"
78,"['Melanocyte', 'Stratum_granulosum', 'Vein', 'Nervous_system', 'Langerhans_cell']","[1591.0, 2405.0, 117.00000000000001, 2713.0, 0.0]"
79,"['Node_of_Ranvier', 'Parasympathetic_nervous_system', 'Gastrointestinal_tract', 'Dermis', 'Medulla_oblongata']","[1375.0, 1570.0, 3221.0, 2081.0, 0.0]"
80,"['Sympathetic_nervous_system', 'Male_reproductive_system', 'Stratum_corneum', 'Hypothalamus', 'Blood_vessel']","[1727.0, 624.0, 2155.0, 3381.0, 0.0]"
81,"['Epithelium', 'Nervous_system', 'Skeleton_in_the_closet', 'Inferior_vena_cava', 'Lacrimal_gland']","[2435.0, 1206.0, 1894.0000000000002, 1878.0000000000002, 0.0]"
82,"['Bronchiole', 'Pulmonary_circulation', 'Red_blood_cell', 'Keratinocyte', 'Salivary_gland']","[2801.0, 1511.0, 1706.0, 737.0, 0.0]"
83,"['Pineal_gland', 'Ovary', 'Capillary', 'Subcutaneous_tissue', 'Protein']","[3408.0, 2757.0, 3512.0, 2260.0, 0.0]"
84,"['Stratum_spinosum', 'Portal_venous_system', 'Blood_plasma', 'Pituitary_gland', 'Peripheral_nervous_system']","[3483.0, 1927.0000000000002, 2364.0, 1654.0, 0.0]"
85,"['Apoptosis', 'Urinary_meatus', 'Brainstem', 'Soma_(biology)', 'Blood']","[188.0, 3070.0, 2460.0, 3381.0, 0.0]"
86,"['Stratum_basale', 'Central_nervous_system', 'Atrium_(heart)', 'Inferior_vena_cava', 'Reproductive_biology']","[820.0, 3266.0, 259.0, 868.0, 0.0]"
87,"['Lymphatic_vessel', 'Sex_organ', 'Nostril', 'Urinary_tract_obstruction', 'Sensory_nerve']","[3274.0, 1876.0000000000002, 3513.0, 2604.0, 0.0]"
88,"['Neural_circuit', 'Root_of_the_lung', 'Cerebral_cortex', 'Superior_vena_cava', 'Nostril']","[2776.0, 272.0, 2744.0, 2371.0, 0.0]"
89,"['Stomach', 'Dendrite', 'Skeleton_in_the_closet', 'Prostate', 'Urinary_catheterization']","[2921.0, 2991.0, 2034.0000000000002, 2625.0, 0.0]"
90,"['Stratified_squamous_epithelium', 'Dermis', 'Apoptosis', 'Arterial_tree', 'Duodenum']","[881.0, 444.0, 2913.0, 1340.0, 0.0]"
91,"['Stratum_corneum', 'Reproductive_success', 'Sensory_nerve', 'Mammary_gland', 'Arterial_tree']","[1904.0000000000002, 2544.0, 1760.0, 2436.0, 0.0]"
92,"['Epithelium', 'Facial_skeleton', 'Mouth', 'Epithelium', 'Reproductive_coercion']","[753.0, 1601.0, 767.0, 79.0, 0.0]"
93,"['Lymphocyte', 'Bacteria', 'Red_blood_cell', 'Stratum_basale', 'Circulatory_system']","[3380.0, 3088.0, 3062.0, 2935.0, 0.0]"
94,"['T_cell', 'Urinary_meatus', 'The_Skeleton_Key', 'Urine_test_strip', 'Schwann_cell']","[166.0, 1636.0, 2506.0, 1564.0, 0.0]"
95,"['Aorta', 'Gallbladder', 'Lacrimal_gland', 'Epithelium', 'Thyroid']","[1973.0000000000002, 2164.0, 1182.0, 2764.0, 0.0]"
96,"['Motor_nerve', 'Spinal_nerve', 'Duodenum', 'Large_intestine', 'Digestion']","[2136.0, 318.0, 3265.0, 397.0, 0.0]"
97,"['Coronary_circulation', 'Cranial_nerves', 'Atrium_(heart)', 'Apoptosis', 'Reproductive_success']","[70.0, 2497.0, 2664.0, 3375.0, 0.0]"
98,"['Coronary_circulation', 'Skeletonization', 'Male_reproductive_system', 'Melanocyte', 'Lymph_node']","[1361.0, 3566.0, 1206.0, 2908.0, 0.0]"
99,"['Facial_skeleton', 'Mouth', 'Urinary_tract_obstruction', 'Keratinocyte', 'Sympathetic_nervous_system']","[144.0, 2611.0, 1504.0, 1456.0, 0.0]"
100,"['Prostate', 'Skeletonization', 'Paranasal_sinuses', 'Thymus', 'Paranasal_sinuses']","[3461.0, 206.0, 2283.0, 1644.0, 0.0]"
101,"['Urinary_incontinence', 'Mouth', 'Reproductive_System', 'Skeletal_formula', 'Sympathetic_nervous_system']","[553.0, 1254.0, 1880.0000000000002, 770.0, 0.0]"
102,"['Mucous_membrane', 'Neural_pathway', 'Stratum_basale', 'Gland', 'Thoracic_diaphragm']","[1877.0000000000002, 593.0, 2665.0, 3454.0, 0.0]"
103,"['Pleural_cavity', 'Heart', 'Human_skeleton', 'Skeletal_muscle', 'Blood_vessel']","[3065.0, 829.0, 1084.0, 265.0, 0.0]"
104,"['Starling_equation', 'Lung', 'Muscle', 'Pulmonary_pleurae', 'Starling_equation']","[349.0, 412.0, 294.0, 2914.0, 0.0]"
105,"['Duodenum', 'Sympathetic_nervous_system', 'Melanocyte', 'Skeletal_formula', 'Respiratory_tract']","[3487.0, 2486.0, 359.0, 254.00000000000003, 0.0]"
106,"['Starling_equation', 'Sebaceous_gland', 'Enteric_nervous_system', 'Heart', 'Central_nervous_system']","[1547.0, 403.0, 1248.0, 1896.0000000000002, 0.0]"
107,"['Mammary_gland', 'Skeleton_in_the_closet', 'Urinary_System', 'Medulla_oblongata', 'Stratum_spinosum']","[2827.0, 1935.0000000000002, 1825.0, 2994.0, 0.0]"
108,"['Blood_plasma', 'Brainstem', 'Salivary_gland', 'Great_vessels', 'Axon']","[3440.0, 1078.0, 1492.0, 2616.0, 0.0]"
109,"['Kidney', 'Sex_organ', 'Urinary_retention', 'Nostril', 'Duodenum']","[2515.0, 1492.0, 1291.0, 2074.0, 0.0]"
110,"['Reproductive_System', 'White_blood_cell', 'Glia', 'Cerebral_cortex', 'Cerebral_cortex']","[1462.0, 143.0, 3401.0, 138.0, 0.0]"
111,"['Heart', 'Ileum', 'Protein', 'Gastrointestinal_tract', 'Paranasal_sinuses']","[545.0, 3095.0, 3402.0, 1663.0, 0.0]"
112,"['Large_intestine', 'Cardiac_muscle', 'Reproductive_System', 'Mammary_gland', 'Pharynx']","[2152.0, 533.0, 3489.0, 2777.0, 0.0]"
113,"['Jejunum', 'Skeleton_in_the_closet', 'Pharynx', 'The_Skeleton_Key', 'Skin']","[1355.0, 2521.0, 2507.0, 657.0, 0.0]"
114,"['Cranial_nerves', 'Peripheral_nervous_system', 'Sebaceous_gland', 'Paranasal_sinuses', 'Pulmonary_circulation']","[2207.0, 1272.0, 3464.0, 1057.0, 0.0]"
115,"['Gland', 'Mammary_gland', 'Central_nervous_system', 'Male_reproductive_system', 'Lymphatic_vessel']","[2104.0, 2540.0, 1984.0000000000002, 2851.0, 0.0]"
116,"['Merkel_cell', 'Gallbladder', 'Lymphocyte', 'Pancreas', 'Thymus']","[2095.0, 1814.0, 1521.0, 2565.0, 0.0]"
117,"['Coronary_circulation', 'Urinary_tract_obstruction', 'Brainstem', 'Integumentary_system', 'Urinary_cast']","[2388.0, 2448.0, 3099.0, 2902.0, 0.0]"
118,"['Skin', 'Tissue_(biology)', 'Paranasal_sinuses', 'Respiratory_System', 'Urination']","[799.0, 996.0000000000001, 2523.0, 3187.0, 0.0]"
119,"['Blood_plasma', 'Hair', 'Vein', 'Urinary_System', 'Red_blood_cell']","[3473.0, 1541.0, 2206.0, 1923.0000000000002, 0.0]"
120,"['Urinary_incontinence', 'Human_reproductive_system', 'Parathyroid_gland', 'Skeletal_muscle', 'Lymphatic_vessel']","[556.0, 2366.0, 2947.0, 824.0, 0.0]"
121,"['Urination', 'Lacrimal_gland', 'Nutrient', 'Arterial_tree', 'Urine_test_strip']","[2866.0, 2281.0, 2474.0, 1102.0, 0.0]"
122,"['Human_digestive_system', 'Nostril', 'Mammary_gland', 'Basement_membrane', 'Stratum_corneum']","[2280.0, 3305.0, 259.0, 2061.0, 0.0]"
123,"['Integumentary_system', 'Salivary_gland', 'Urination', 'Node_of_Ranvier', 'Mucus']","[2745.0, 200.0, 3342.0, 1836.0000000000002, 0.0]"
124,"['Muscle_relaxant', 'Reproductive_isolation', 'Prostate', 'Spinal_cord', 'Thymus']","[2776.0, 1431.0, 3444.0, 3002.0, 0.0]"
125,"['B_cell', 'Salivary_gland', 'Ileum', 'Thoracic_diaphragm', 'Lung']","[3400.0, 743.0, 3495.0, 2849.0, 0.0]"
126,"['Artery', 'Pleural_cavity', 'Epithelium', 'Cardiac_muscle', 'Protein']","[330.0, 1727.0, 1933.0000000000002, 2816.0, 0.0]"
127,"['Urinary_diversion', 'Nutrient', 'Skeletal_muscle', 'Superior_vena_cava', 'Skeleton_in_the_closet']","[2160.0, 789.0, 2110.0, 1208.0, 0.0]"
128,"['Parathyroid_gland', 'Motor_nerve', 'Urinary_diversion', 'Dermis', 'Adrenal_gland']","[2827.0, 2252.0, 1560.0, 3141.0, 0.0]"
129,"['Jejunum', 'Skeletonization', 'Hair', 'Skeletal_formula', 'Stomach']","[1150.0, 1216.0, 547.0, 2891.0, 0.0]"
130,"['Protein', 'Prefrontal_cortex', 'Stratum_spinosum', 'Brainstem', 'Respiratory_System']","[2976.0, 238.00000000000003, 2119.0, 2242.0, 0.0]"
131,"['Stromal_cell', 'Digestion', 'Facial_skeleton', 'T_cell', 'Heart']","[175.0, 3592.0, 702.0, 3293.0, 0.0]"
132,"['Kidney', 'Lacrimal_gland', 'Reproductive_biology', 'Parathyroid_gland', 'Kidney']","[2765.0, 1643.0, 3191.0, 305.0, 0.0]"
133,"['Nostril', 'Axon_terminal', 'Large_intestine', 'White_blood_cell', 'Stratum_spinosum']","[1353.0, 3472.0, 684.0, 1136.0, 0.0]"
134,"['Integumentary_system', 'Paranasal_sinuses', 'Axial_skeleton', 'Stratum_spinosum', 'Hair']","[1768.0, 2625.0, 1527.0, 423.0, 0.0]"
135,"['Skeletal_muscle', 'Starling_equation', 'Large_intestine', 'Programmed_cell_death', 'Nostril']","[2915.0, 2216.0, 1873.0000000000002, 964.0000000000001, 0.0]"
136,"['Pancreas', 'Heart', 'Urinary_incontinence', 'B_cell', 'Stratified_squamous_epithelium']","[356.0, 3389.0, 2247.0, 1526.0, 0.0]"
137,"['Urination', 'Atrium_(heart)', 'Bacteria', 'Parathyroid_gland', 'Starling_equation']","[1127.0, 548.0, 1612.0, 1494.0, 0.0]"
138,"['Bacteria', 'Thymus', 'Artery', 'Vein', 'Pharynx']","[1179.0, 3032.0, 3549.0, 2604.0, 0.0]"
139,"['Mucous_membrane', 'Blood_plasma', 'Lacrimal_gland', 'Nose', 'Duodenum']","[693.0, 783.0, 829.0, 3124.0, 0.0]"
140,"['Hypha', 'Nervous_system', 'Skeletal_muscle', 'Pulmonary_circulation', 'Peripheral_nervous_system']","[1328.0, 1140.0, 619.0, 2096.0, 0.0]"
141,"['Root_of_the_lung', 'Appendicular_skeleton', 'Human_digestive_system', 'Blood_vessel', 'Spinal_cord']","[991.0000000000001, 1064.0, 552.0, 1879.0000000000002, 0.0]"
142,"['Kidney', 'Lymphatic_system', 'Cerebral_cortex', 'Heart', 'Spinal_nerve']","[2539.0, 2532.0, 2608.0, 1131.0, 0.0]"
143,"['Nose', 'Skeletonization', 'Capillary', 'Sex_organ', 'Ovary']","[3249.0, 2858.0, 1166.0, 1235.0, 0.0]"
144,"['Urinary_catheterization', 'Prefrontal_cortex', 'Urinary_tract_obstruction', 'Arterial_tree', 'Reproductive_biology']","[401.0, 3186.0, 64.0, 464.00000000000006, 0.0]"
145,"['Duodenum', 'Urination', 'Lymphocyte', 'Gastrointestinal_tract', 'Female_reproductive_system']","[2186.0, 2764.0, 2986.0, 828.0, 0.0]"
146,"['Nutrient', 'Reproductive_rights', 'Stratum_basale', 'Urination', 'Human_reproductive_system']","[1310.0, 963.0000000000001, 2922.0, 662.0, 0.0]"
147,"['Parasympathetic_nervous_system', 'Salivary_gland', 'Skeleton_in_the_closet', 'Great_vessels', 'Hypothalamus']","[423.0, 1208.0, 3425.0, 3532.0, 0.0]"
148,"['Liver', 'Circulatory_system', 'Blood_plasma', 'Subcutaneous_tissue', 'Bronchiole']","[1343.0, 561.0, 2390.0, 2458.0, 0.0]"
149,"['Cranial_nerves', 'Pancreas', 'Epidermis', 'Neural_pathway', 'Prostate']","[3408.0, 1428.0, 1192.0, 2386.0, 0.0]"
150,"['Urinary_anti-infective_agent', 'Soma_(biology)', 'Neuron', 'Great_vessels', 'Axon']","[601.0, 2215.0, 2604.0, 3440.0, 0.0]"
151,"['Langerhans_cell', 'Nostril', 'Axial_skeleton', 'Blood_vessel', 'Tonsil']","[2304.0, 1426.0, 3499.0, 1485.0, 0.0]"
152,"['Capillary', 'Atrium_(heart)', 'Skeletal_animation', 'Circulatory_system', 'Duodenum']","[2988.0, 2274.0, 806.0, 3551.0, 0.0]"
153,"['Glia', 'Stomach', 'Blood', 'Reproductive_isolation', 'Urine_test_strip']","[2008.0000000000002, 1822.0, 2880.0, 3193.0, 0.0]"
154,"['Starling_equation', 'Urinary_catheterization', 'Appendicular_skeleton', 'Human_digestive_system', 'Ovary']","[157.0, 2235.0, 1836.0000000000002, 1496.0, 0.0]"
155,"['Pineal_gland', 'Thymus', 'Salivary_gland', 'Cerebellum', 'Axon_terminal']","[2323.0, 2336.0, 1662.0, 1164.0, 0.0]"
156,"['Urination', 'Reproductive_isolation', 'Hypothalamus', 'Reproductive_isolation', 'Gut_microbiota']","[2425.0, 711.0, 443.0, 1540.0, 0.0]"
157,"['Red_blood_cell', 'Gallbladder', 'Skeletal_System', 'Coronary_circulation', 'Inferior_vena_cava']","[1163.0, 1612.0, 1823.0, 1316.0, 0.0]"
158,"['Stratum_spinosum', 'Pineal_gland', 'Lymph_node', 'Dendrite', 'Pulmonary_circulation']","[1296.0, 565.0, 2317.0, 334.0, 0.0]"
159,"['Parasympathetic_nervous_system', 'Medulla_oblongata', 'Human_skeleton', 'Neural_circuit', 'Cranial_nerves']","[1841.0000000000002, 515.0, 675.0, 632.0, 0.0]"
160,"['Pulmonary_pleurae', 'Integumentary_system', 'Stratum_corneum', 'Bone_marrow', 'Mucous_membrane']","[3482.0, 3500.0, 275.0, 2819.0, 0.0]"
161,"['Anus', 'Mucous_membrane', 'Urinary_diversion', 'Circulatory_system', 'Merkel_cell']","[2178.0, 2789.0, 1009.0000000000001, 2079.0, 0.0]"
162,"['Parathyroid_gland', 'Stratum_corneum', 'Stratum_basale', 'Synapse', 'Stratum_granulosum']","[2885.0, 920.0000000000001, 1980.0000000000002, 3153.0, 0.0]"
163,"['Gland', 'Urinary_cast', 'Melanocyte', 'Myelin', 'Lung']","[2757.0, 71.0, 167.0, 1769.0, 0.0]"
164,"['Cecum', 'Thymus', 'Smooth_muscle', 'Lymph_node', 'Spinal_nerve']","[1932.0000000000002, 1357.0, 229.00000000000003, 842.0, 0.0]"
165,"['Reproductive_isolation', 'Digestion', 'Dendrite', 'Portal_venous_system', 'Cardiac_muscle']","[515.0, 2986.0, 3038.0, 931.0000000000001, 0.0]"
